month,pct_id,total_doac_items,total_doac_warfain,calc_value
2020-05-01,00R,2770,5833,0.474884279101663
2020-07-01,00R,3194,6563,0.4866676824622886
2015-08-01,00R,293,4584,0.06391797556719023
2020-06-01,00R,2899,6030,0.48076285240464345
2019-08-01,03R,5555,13767,0.4035011258807293
2019-12-01,03R,5379,12737,0.42231294653372065
2018-10-01,03R,4356,13019,0.33458790997772486
2019-05-01,03R,5074,12969,0.39124065078263554
2019-07-01,03R,4937,12082,0.4086243999337858
2018-12-01,03R,4497,12814,0.3509442796940846
2019-09-01,03R,5096,12403,0.4108683383052487
2019-01-01,03R,4523,13083,0.3457158144156539
2020-01-01,03R,5934,13169,0.45060369048523047
2018-08-01,03R,4257,13250,0.32128301886792454
2019-06-01,03R,4870,12345,0.39449169704333736
2018-07-01,03R,3947,12628,0.3125593918276845
2020-04-01,03R,5974,12923,0.462276561170007
2018-04-01,03R,3549,12261,0.28945436750672865
2020-03-01,03R,6095,13936,0.4373564867967853
2018-05-01,03R,3824,12782,0.29917070880926305
2018-11-01,03R,4379,12705,0.34466745375836283
2019-02-01,03R,4138,11429,0.36206142269664887
2019-04-01,03R,4677,12414,0.3767520541324311
2019-10-01,03R,5505,13165,0.41815419673376375
2018-09-01,03R,4069,12162,0.33456668311133037
2019-11-01,03R,5375,12455,0.4315535929345644
2019-03-01,03R,4616,12388,0.37261866322247333
2020-02-01,03R,5371,11746,0.45726204665418013
2017-03-01,06L,2509,14784,0.16971049783549783
2018-03-01,06L,4350,15484,0.28093515887367604
2017-08-01,06L,3277,15177,0.21591882453712855
2017-09-01,06L,3326,14702,0.22622772411916747
2015-10-01,06L,970,13567,0.0714970148153608
2016-11-01,06L,2016,14278,0.14119624597282532
2015-09-01,06L,871,13621,0.06394537845973129
2017-06-01,06L,2934,15013,0.19543062679011525
2015-12-01,06L,1107,14909,0.07425045274666309
2018-02-01,06L,3611,13361,0.2702642017813038
2016-08-01,06L,1686,14410,0.11700208188757807
2017-04-01,06L,2547,13679,0.18619782147817823
2017-01-01,06L,2142,13991,0.15309842041312272
2017-12-01,06L,3837,15357,0.24985348700918147
2016-02-01,06L,1107,13057,0.08478210921344873
2017-11-01,06L,3721,15223,0.24443276620902582
2016-07-01,06L,1582,13725,0.11526411657559199
2016-05-01,06L,1327,13659,0.09715206091221905
2016-10-01,06L,1803,13528,0.13327912477823772
2017-02-01,06L,2202,13397,0.16436515637829366
2016-04-01,06L,1330,14184,0.09376762549351382
2016-03-01,06L,1228,13737,0.08939360850258427
2016-12-01,06L,2160,14814,0.14580801944106925
2017-10-01,06L,3426,14655,0.2337768679631525
2018-06-01,06L,4603,15129,0.3042501156718884
2015-11-01,06L,928,13002,0.07137363482541148
2016-09-01,06L,1818,14379,0.12643438347590236
2017-07-01,06L,3015,14177,0.21266840657402836
2018-01-01,06L,3924,14901,0.26333803100463055
2017-05-01,06L,2894,15027,0.19258667731416784
2016-01-01,06L,1037,13028,0.07959778937672705
2016-06-01,06L,1501,14173,0.10590559514569957
2015-07-01,07G,229,3919,0.05843327379433529
2018-11-01,00T,4242,7423,0.5714670618348376
2017-03-01,01F,1383,3569,0.3875035023816195
2017-02-01,01F,1170,3103,0.3770544634224944
2016-11-01,01F,1172,3425,0.3421897810218978
2019-12-01,01F,2547,3898,0.6534120061570036
2018-02-01,01V,2006,4021,0.49888087540412834
2018-08-01,01V,2518,4591,0.5484643868438249
2018-10-01,01V,2617,4643,0.5636441955632134
2016-06-01,01X,1636,5646,0.28976266383280197
2016-04-01,01X,1510,5637,0.2678729820826681
2016-08-01,01X,1861,5984,0.3109959893048128
2016-12-01,02P,3067,8858,0.3462406863851885
2019-01-01,02P,6139,10471,0.5862859325756852
2018-05-01,02P,5163,9904,0.5213045234248789
2017-07-01,02P,3872,8991,0.43065287509731953
2017-11-01,02Q,1883,4052,0.46470878578479763
2017-04-01,02X,3326,8437,0.39421595353798744
2018-04-01,02X,4569,8847,0.5164462529671074
2018-01-01,02X,4477,9169,0.48827571163703787
2018-06-01,02X,4908,9244,0.5309389874513197
2015-11-01,03H,897,4266,0.21026722925457103
2016-01-01,03H,989,4192,0.23592557251908397
2015-12-01,03H,1057,4840,0.21838842975206613
2016-02-01,03H,1041,4261,0.24430884768833608
2016-10-01,03H,1483,4458,0.33266038582323915
2018-12-01,03Q,6037,10489,0.5755553436933931
2016-09-01,03Q,2857,8946,0.3193606080930025
2015-07-01,04C,769,4456,0.17257630161579893
2017-09-01,04C,2310,5180,0.44594594594594594
2020-02-01,04F,3288,4902,0.6707466340269278
2020-01-01,04F,3596,5416,0.6639586410635155
2015-09-01,05D,387,2051,0.1886884446611409
2015-10-01,05D,413,2061,0.20038816108685104
2015-08-01,05D,357,1951,0.18298308559712967
2016-03-01,05V,1031,4020,0.2564676616915423
2017-01-01,05V,1494,4126,0.362094037809016
2017-06-01,06A,2281,5516,0.4135242929659173
2018-03-01,06A,2856,5669,0.5037925560063503
2019-03-01,07P,2879,4810,0.5985446985446985
2019-11-01,07P,3317,5072,0.6539826498422713
2019-02-01,07P,2599,4346,0.5980211688909342
2020-07-01,08E,3634,5068,0.7170481452249408
2018-09-01,08M,2204,3962,0.5562847046945987
2019-08-01,09D,4181,6591,0.6343498710362616
2019-09-01,09D,3898,6078,0.6413293846660085
2019-05-01,09D,3910,6360,0.6147798742138365
2020-04-01,09D,4450,6414,0.6937948238228875
2017-08-01,11J,11867,26862,0.4417764872310327
2017-10-01,11N,8990,19480,0.46149897330595485
2016-07-01,12F,3051,10048,0.3036425159235669
2016-05-01,15M,5195,18702,0.2777777777777778
2020-05-01,15M,17442,24599,0.7090532135452661
2020-03-01,15M,18614,28338,0.6568565177500176
2018-07-01,16C,11249,20787,0.5411555298984942
2019-04-01,16C,12682,20775,0.6104452466907341
2019-07-01,16C,13383,21301,0.6282803624242993
2017-05-01,16C,8166,20086,0.40655182714328386
2019-06-01,84H,12509,20024,0.6247003595685178
2020-06-01,93C,17128,23929,0.7157841949099419
2017-12-01,93C,9485,20103,0.4718201263493011
2019-10-01,99F,3597,5555,0.6475247524752475
2018-09-01,01D,2249,2277,0.9877031181379008
2018-05-01,01D,2347,2402,0.9771024146544546
2018-06-01,01D,2322,2350,0.9880851063829788
2020-06-01,01D,3225,3240,0.9953703703703703
2019-01-01,01D,2741,2769,0.9898880462260744
2019-08-01,01D,3159,3173,0.9955877718247715
2019-04-01,01D,2683,2711,0.9896717078568794
2019-12-01,01D,3074,3092,0.9941785252263907
2019-10-01,01D,3144,3164,0.9936788874841972
2019-06-01,01D,2675,2696,0.9922106824925816
2018-07-01,01D,2368,2402,0.9858451290591174
2018-12-01,01D,2588,2619,0.9881634211531118
2017-10-01,01D,1947,2160,0.9013888888888889
2019-09-01,01D,2885,2906,0.9927735719201651
2019-05-01,01D,2921,2952,0.9894986449864499
2019-11-01,01D,3010,3047,0.9878569084345258
2017-08-01,01D,1992,2347,0.8487430762675756
2018-04-01,01D,2177,2247,0.9688473520249221
2020-04-01,01D,3255,3270,0.9954128440366973
2020-05-01,01D,3011,3036,0.9917654808959157
2019-03-01,01D,2707,2732,0.9908491947291361
2018-03-01,01D,2205,2277,0.9683794466403162
2020-07-01,01D,3356,3381,0.9926057379473529
2018-01-01,01D,2122,2250,0.9431111111111111
2017-09-01,01D,1828,2034,0.8987217305801377
2018-11-01,01D,2607,2632,0.9905015197568389
2019-02-01,01D,2536,2569,0.9871545348384585
2017-12-01,01D,2090,2222,0.9405940594059405
2018-08-01,01D,2557,2582,0.9903175832687839
2020-03-01,01D,3320,3352,0.9904534606205251
2018-02-01,01D,1976,2038,0.9695780176643768
2018-10-01,01D,2620,2653,0.9875612514134942
2017-11-01,01D,1983,2158,0.9189063948100092
2019-07-01,01D,2706,2724,0.9933920704845814
2020-01-01,01D,3182,3203,0.99344364658133
2020-02-01,01D,2966,2981,0.9949681314994968
2015-12-01,08F,1747,3156,0.5535487959442332
2016-04-01,08F,1948,3172,0.6141235813366961
2016-05-01,08F,1952,3027,0.6448629005616121
2015-11-01,08F,1572,2855,0.5506129597197899
2015-10-01,08F,1600,2938,0.5445881552076243
2016-08-01,08F,2343,3427,0.6836883571637
2016-06-01,08F,2154,3297,0.6533212010919017
2015-07-01,08F,1360,2897,0.46945115636865725
2016-01-01,08F,1622,2830,0.5731448763250884
2015-08-01,08F,1292,2593,0.498264558426533
2016-02-01,08F,1734,2936,0.590599455040872
2016-07-01,08F,2168,3281,0.6607741542212741
2016-09-01,08F,2431,3527,0.6892543237879217
2016-03-01,08F,1859,3023,0.614952034402911
2015-09-01,08F,1390,2747,0.5060065526028394
2017-01-01,08N,1828,2521,0.7251090836969457
2017-05-01,08N,2293,2906,0.7890571231933929
2017-07-01,08N,2227,2767,0.8048427900252981
2016-12-01,08N,1956,2665,0.7339587242026266
2016-11-01,08N,1840,2558,0.7193119624706802
2017-02-01,08N,1893,2522,0.7505947660586836
2017-03-01,08N,2185,2824,0.7737252124645893
2016-10-01,08N,1771,2446,0.7240392477514309
2017-04-01,08N,2018,2621,0.7699351392598245
2017-06-01,08N,2218,2808,0.7898860398860399
2015-07-01,00Q,284,2900,0.09793103448275862
2020-04-01,01K,6758,11615,0.5818338355574688
2018-02-01,01K,3453,9046,0.3817156754366571
2017-08-01,01K,3176,9808,0.32381729200652526
2018-01-01,02M,2395,6665,0.35933983495873967
2018-04-01,02M,2589,6641,0.3898509260653516
2018-03-01,02M,2690,7072,0.3803733031674208
2018-10-01,02M,3279,7434,0.4410815173527038
2016-08-01,02Y,2321,11194,0.2073432195819189
2016-12-01,02Y,3001,12178,0.24642798489078666
2015-11-01,02Y,1288,10330,0.12468538238141336
2015-10-01,03F,795,6736,0.11802256532066509
2019-01-01,03J,2436,5170,0.47117988394584137
2019-09-01,03J,2755,5185,0.5313404050144648
2018-05-01,03J,1930,4809,0.4013308380120607
2020-06-01,05H,3856,6307,0.6113841763120342
2020-07-01,05H,3876,6341,0.6112600536193029
2018-12-01,05H,2517,5488,0.45863702623906705
2017-03-01,05Y,2046,7412,0.2760388559093362
2017-12-01,05Y,2553,7322,0.3486752253482655
2017-10-01,05Y,2424,7120,0.3404494382022472
2019-06-01,05Y,3607,6898,0.5229051899101189
2018-07-01,05Y,3135,7463,0.42007235696100764
2017-11-01,05Y,2561,7495,0.34169446297531686
2017-07-01,05Y,2125,6846,0.31040023371311715
2017-05-01,06F,3538,12099,0.29242086122820066
2017-09-01,06F,3940,11854,0.3323772566222372
2016-04-01,06H,3761,22580,0.166563330380868
2017-02-01,06H,5602,21285,0.26319003993422596
2015-08-01,06H,2091,20130,0.10387481371087928
2017-04-01,06H,6383,22310,0.2861048857014792
2017-01-01,06H,5793,22799,0.2540900916706873
2017-06-01,06H,7357,24275,0.3030690010298661
