month,pct,doacs,perc_doacs
2012-01-01,00C,9,0.7407407407407408
2012-01-01,00D,18,0.31690140845070425
2012-01-01,00J,5,0.12373174956693887
2012-01-01,00K,2,0.04202563563773902
2012-01-01,00L,18,0.3659280341532832
2012-01-01,00M,16,0.30337504740235116
2012-01-01,00N,1,0.03915426781519186
2012-01-01,00P,15,0.35528185693983894
2012-01-01,00Q,1,0.056915196357427436
2012-01-01,00R,2,0.06295247088448222
2012-01-01,00T,4,0.10979961570134504
2012-01-01,00V,3,0.11411182959300115
2012-01-01,00X,2,0.09195402298850575
2012-01-01,00Y,0,0.0
2012-01-01,01A,4,0.0821186614658181
2012-01-01,01C,2,0.054629882545752524
2012-01-01,01D,2,0.07518796992481204
2012-01-01,01E,5,0.2598752598752599
2012-01-01,01F,0,0.0
2012-01-01,01G,0,0.0
2012-01-01,01H,21,0.32654330586222985
2012-01-01,01J,0,0.0
2012-01-01,01K,10,0.1771793054571226
2012-01-01,01R,0,0.0
2012-01-01,01T,0,0.0
2012-01-01,01V,1,0.047505938242280284
2012-01-01,01W,2,0.04816955684007707
2012-01-01,01X,0,0.0
2012-01-01,01Y,17,0.5541069100391135
2012-01-01,02A,6,0.2331908278274388
2012-01-01,02D,0,0.0
2012-01-01,02E,0,0.0
2012-01-01,02F,4,0.11226494527083919
2012-01-01,02G,0,0.0
2012-01-01,02H,0,0.0
2012-01-01,02M,1,0.02938583602703497
2012-01-01,02N,10,0.3144654088050315
2012-01-01,02P,2,0.03942440370589395
2012-01-01,02Q,1,0.041736227045075125
2012-01-01,02R,11,0.4389465283320032
2012-01-01,02T,2,0.06968641114982578
2012-01-01,02W,2,0.7843137254901961
2012-01-01,02X,1,0.018453589223103892
2012-01-01,02Y,18,0.2364998029168309
2012-01-01,03A,9,0.3441682600382409
2012-01-01,03D,17,0.4352278545826933
2012-01-01,03E,8,0.28622540250447226
2012-01-01,03F,0,0.0
2012-01-01,03H,2,0.06626905235255136
2012-01-01,03J,0,0.0
2012-01-01,03K,2,0.05770340450086555
2012-01-01,03L,1,0.032071840923669014
2012-01-01,03M,17,0.5619834710743801
2012-01-01,03N,4,0.04548555833522856
2012-01-01,03Q,12,0.22396416573348266
2012-01-01,03R,1,0.013776002204160353
2012-01-01,03T,14,0.24330900243309003
2012-01-01,03V,0,0.0
2012-01-01,03W,0,0.0
2012-01-01,04C,0,0.0
2012-01-01,04D,2,0.05080010160020319
2012-01-01,04E,1,0.06101281269066504
2012-01-01,04F,2,0.10240655401945725
2012-01-01,04G,6,0.062260039431358306
2012-01-01,04H,2,0.15748031496062992
2012-01-01,04K,2,0.12523481527864747
2012-01-01,04L,2,0.20597322348094746
2012-01-01,04M,3,0.3865979381443299
2012-01-01,04N,1,0.1148105625717566
2012-01-01,04Q,2,0.06791171477079797
2012-01-01,04V,0,0.0
2012-01-01,04Y,3,0.15690376569037656
2012-01-01,05A,1,0.015807777426493835
2012-01-01,05C,0,0.0
2012-01-01,05D,2,0.14174344436569808
2012-01-01,05F,5,0.14302059496567504
2012-01-01,05G,0,0.0
2012-01-01,05H,0,0.0
2012-01-01,05J,1,0.04574565416285453
2012-01-01,05L,10,0.18681113394358304
2012-01-01,05N,2,0.041254125412541254
2012-01-01,05Q,1,0.033311125916055964
2012-01-01,05R,19,0.3883098303699162
2012-01-01,05T,7,0.13534416086620263
2012-01-01,05V,2,0.07451564828614009
2012-01-01,05W,5,0.10785159620362382
2012-01-01,05X,0,0.0
2012-01-01,05Y,0,0.0
2012-01-01,06A,7,0.22450288646568314
2012-01-01,06D,0,0.0
2012-01-01,06F,5,0.07144898542440697
2012-01-01,06H,2,0.014035087719298244
2012-01-01,06K,3,0.02574002574002574
2012-01-01,06L,1,0.012479720454261826
2012-01-01,06M,1,0.023223409196470042
2012-01-01,06N,5,0.07070135746606335
2012-01-01,06P,7,0.3489531405782652
2012-01-01,06Q,4,0.06350214319733291
2012-01-01,06T,3,0.041385018623258385
2012-01-01,06V,0,0.0
2012-01-01,06W,0,0.0
2012-01-01,06Y,1,0.021253985122210415
2012-01-01,07G,0,0.0
2012-01-01,07H,6,0.09689922480620156
2012-01-01,07J,0,0.0
2012-01-01,07K,7,0.14733740265207323
2012-01-01,07L,6,0.28222013170272814
